"year","property_type","sample_size","total_units","avg_market_value","avg_value_per_unit","avg_tax_per_unit","median_tax_per_unit","effective_tax_rate","prev_tax","tax_change_pct"
2021,"Condo",285610,285610,258283.839991624,258283.839991624,4951.91023679137,3764.26,NA,NA,NA
2021,"Large Multi-Family (7+ units)",7518,81831,1096375.80074487,93060.719946731,2089.05947795661,2016.585,2.29613814980235,NA,NA
2021,"Single Family",192961,192961,250714.807448056,250714.807448056,5183.73526671173,4624.89,NA,NA,NA
2021,"Small Multi-Family (2-6 units)",123857,309288,366257.455371975,133826.801143019,2578.77564391462,2567.485,1.91347615875886,NA,NA
2022,"Condo",286845,286845,260034.469731058,260034.469731058,5121.32457905857,3867.35,NA,4951.91023679137,3.42119170514218
2022,"Large Multi-Family (7+ units)",7533,81541,1087440.38231781,92849.3372599714,2130.06269174363,2051.57857142857,2.34623420288808,2089.05947795661,1.96275952023772
2022,"Single Family",193002,193002,249305.452948768,249305.452948768,5381.4718628821,4818.96,NA,5183.73526671173,3.8145581515355
2022,"Small Multi-Family (2-6 units)",123515,307067,360685.054042113,132751.661100508,2669.11444434546,2673.855,1.99422127380679,2578.77564391462,3.50316634345541
